applicantId,gender,age,nationality,decision,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,company,ind-degree_bachelor,ind-degree_master,ind-degree_phd,score_A,score_B,score_C,score_D,score,disc_gender,disc_age,disc_nationality
4,female,26,German,1,59,0,0,0,0,1,0,A,0,1,0,2.860237990604744,2.143613526537716,2.7773309741544594,2.228943618476561,2.50253152744337,0,1,1
7,female,22,Dutch,1,71,0,1,0,0,1,1,A,0,1,0,2.7773675947498773,1.4288665363527793,2.2221849424277527,3.9412875504489695,2.5924266559948443,0,0,0
8,female,28,Dutch,0,65,1,0,0,1,3,0,A,1,0,0,3.7047783036229185,3.9288528167795853,2.225260643654919,3.080809692177534,3.2349253640587388,0,1,0
10,female,27,Dutch,0,61,0,0,0,0,1,1,A,1,0,0,1.7270032306282224,1.4284483811191682,1.113333890530598,2.468182913525718,1.6842421039509268,0,1,0
12,female,27,German,0,62,0,1,0,0,1,1,A,1,0,0,1.2849582867486578,1.4284078715719168,1.1102919759218068,2.2810953022334393,1.5261883591189553,0,1,1
13,male,26,Dutch,0,56,0,0,0,0,1,0,A,1,0,0,1.9555767381201097,1.785598111310411,1.6681888986818985,1.6072213907202395,1.7541462847081646,1,1,0
14,female,25,Dutch,0,63,0,1,0,0,1,0,A,1,0,0,2.228807015437934,1.0720185739501369,1.6677894960091746,2.5931667235993925,1.8904454522491592,0,1,0
15,female,27,Dutch,1,66,1,1,0,1,2,1,A,1,0,0,1.6196697958930955,2.499755589559453,1.1125169885890747,2.7178093036261637,1.987437919416947,0,1,0
16,male,28,Dutch,0,63,0,1,1,0,1,0,A,0,0,1,2.808537789304834,1.7846625875947242,4.443369716769989,2.5831100842535286,2.9049200444807686,1,1,0
18,male,31,Dutch,1,71,0,1,1,0,1,1,A,0,0,1,2.8468750087369754,1.7841638062142227,3.8889824300860765,3.796393021002354,3.079103566509907,1,1,0
19,female,24,Belgian,1,63,0,0,0,0,1,1,A,1,0,0,2.0017914913628387,1.4285016727493949,0.5569395488552187,2.7689264291100995,1.689039785519388,0,0,1
21,female,28,Dutch,0,65,0,0,1,0,0,1,A,0,1,0,1.9324507037446261,0.7146311602362017,2.778892325756037,3.0493728206786392,2.118836752603876,0,1,0
24,male,24,Belgian,1,72,0,1,0,0,2,1,A,0,1,0,3.6003181258726187,2.856570570099536,2.2210762054315025,4.418308080377656,3.2740682454453283,1,0,1
25,male,24,Dutch,0,68,0,1,0,0,2,1,A,0,1,0,3.120212321716424,2.8564709312857524,2.7766220135067794,3.764967107342884,3.12956809346296,1,0,0
26,male,21,Dutch,0,61,0,0,0,0,2,0,A,1,0,0,3.325834213504518,2.856940144670498,2.222960431483926,2.5720657232067885,2.7444501282164326,1,0,0
27,male,29,Dutch,1,58,1,0,0,1,3,0,A,0,1,0,3.301764685873257,4.642494422041024,3.3338635481500165,2.2196792219325427,3.37445046949921,1,1,0
28,male,30,Dutch,0,56,0,0,1,0,0,0,A,0,1,0,1.6812871301153274,1.0716322379467207,3.333668069819768,1.6698302638375124,1.9391044254298322,1,1,0
31,female,31,Belgian,1,61,0,0,0,0,1,0,A,1,0,0,2.571728903117379,1.4291332783790673,1.1140521921290671,2.6341707404505033,1.9372712785190043,0,1,1
33,male,23,German,0,66,0,1,0,1,2,1,A,1,0,0,1.8492426006068288,2.8562630755471683,1.1109668804841755,2.6759532574588705,2.1231064535242608,1,0,1
34,male,31,Dutch,0,59,0,0,0,0,1,0,A,1,0,0,2.2597140537134504,1.7856645233921373,1.6695515768920255,2.146485014748464,1.9653537921865194,1,1,0
35,male,28,Dutch,0,51,1,0,1,0,2,0,A,0,1,0,2.4263381200121867,3.5710366942418914,4.441266302775459,1.2237789205082623,2.91560500938445,1,1,0
37,male,32,Dutch,0,66,0,0,1,0,1,1,A,0,1,0,2.716642515060506,2.1423531198283774,3.334307440682829,3.4953077899051137,2.9221527163692067,1,1,0
38,male,27,German,0,64,1,1,0,1,2,0,A,1,0,0,2.220810606210046,3.214170962948644,1.6664768703400028,2.1153201570604385,2.304194649139783,1,1,1
39,female,22,Belgian,1,71,0,1,0,0,1,1,A,0,1,0,2.80077031585482,1.4288361754270658,1.666020602253651,4.0138428624821225,2.477367489004415,0,0,1
40,female,30,Dutch,1,57,1,0,0,1,3,0,A,0,1,0,3.240171502387863,4.285889820542416,3.3342443604281726,2.219955265472367,3.2700652372077044,0,1,0
42,female,25,Belgian,0,69,0,1,0,0,1,1,A,1,0,0,2.08522941234876,1.0714430843980245,0.5563893357449803,3.5264075149169316,1.8098673368521743,0,1,1
45,male,28,Belgian,0,64,0,1,1,0,0,1,A,0,1,0,1.1874783631501544,0.7138868129183379,2.220559896989743,2.717561852952145,1.709871731502595,1,1,1
46,female,26,Dutch,0,60,0,0,0,0,0,0,A,1,0,0,1.711551783359439,0.3580137812093706,1.114265972067455,1.9702080003947928,1.2885098842577642,0,1,0
49,female,27,German,1,63,0,0,1,0,1,0,A,0,1,0,3.3625187247029507,2.143635313043164,3.8879252884995785,2.89342301608959,3.071875585583821,0,1,1
51,male,26,Dutch,1,57,1,0,0,1,3,0,A,0,1,0,3.2106229131206803,4.642480574797942,3.333169647617041,2.0122781797243614,3.299637828815006,1,1,0
54,female,26,Dutch,0,74,1,1,0,1,2,1,A,0,1,0,3.004909325427625,2.857331245166636,2.223435564473757,4.117892893989603,3.0508922572644055,0,1,0
56,male,28,Dutch,1,62,1,0,0,1,2,0,A,0,1,0,3.005157143741356,3.5714821935244148,2.7794051764448136,2.437193372773549,2.9483094716210334,1,1,0
59,female,32,Dutch,0,58,0,0,1,0,0,0,A,0,1,0,1.9545432597123944,0.7151189187751733,3.334692536628368,2.1264304287717777,2.0326962859719284,0,1,0
